1633, 280692, 521, 33326, 23404, 252944, 257091, 849614
8562, 966135, 2899, 196925, 135389, 823951, 911917, 3045782
7825, 659233, 2810, 190644, 131084, 531814, 498567, 2021980
6714, 423730, 2616, 177649, 122205, 373254, 374787, 1480958
11776, 654371, 4467, 306383, 209355, 516151, 496687, 2199194
45547, 2613639, 17757, 1216988, 836988, 2043800, 1952043, 8726765
33445, 2259119, 13822, 947715, 651808, 1953443, 2005421, 7864776
36852, 3515275, 14814, 1015066, 698490, 2729724, 2668782, 10679006
41429, 5717826, 15311, 1048950, 721494, 4257820, 4860844, 16663677
44344, 8976946, 15592, 1066312, 733900, 7171895, 8392957, 26401950
12524, 2245759, 3953, 267151, 183382, 2011546, 2054665, 6778981
