1637, 280318, 520, 33417, 22888, 252787, 257943, 849512
8611, 965238, 2908, 196831, 135397, 820970, 912172, 3042130
7779, 659116, 2842, 191392, 131070, 532088, 499479, 2023771
6762, 423564, 2619, 177754, 122267, 373051, 374677, 1480696
11822, 657813, 4491, 305409, 209824, 517108, 493612, 2200080
46674, 2618371, 17757, 1220985, 836960, 2044067, 1951884, 8736700
33485, 2261974, 13836, 947505, 651278, 1951705, 2002543, 7862330
37037, 3514066, 14821, 1015580, 698673, 2727095, 2672751, 10680026
40779, 5720832, 15301, 1050494, 721943, 4258257, 4874153, 16681763
43594, 8970375, 15542, 1071543, 733958, 7149723, 8222392, 26207131
12505, 2242737, 3972, 267091, 183438, 2010147, 2057867, 6777759
